ㄐㄧㄣ	今	19140
ㄉㄞˋ	代	19053
ㄓ	知	19049
ㄓˋ	知	19049
ㄐㄧˋ	計	19024
ㄘˋ	次	18876
ㄖㄨˋ	入	18789
ㄅㄟˋ	被	18729
ㄆㄧ	被	18729
ㄕㄨㄟˇ	水	18694
ㄕㄨㄟ˙	水	18694
ㄒㄧㄤˋ	像	18673
ㄐㄧㄢˋ	建	18620
ㄌㄠˇ	老	18597
ㄍㄜˋ	各	18536
ㄨˋ	物	18515
ㄕˊ	什	18493
ㄕㄜˊ	什	18493
ㄕㄣˊ	什	18493
ㄏㄨㄛˊ	活	18493
ㄅㄠˇ	保	18390
ㄕㄜˊ ㄇㄛ˙	什麼	18309
ㄕㄜˊ ㄇㄜ˙	什麼	18309
ㄕㄣˊ ㄇㄛ˙	什麼	18309
ㄕㄣˊ ㄇㄜ˙	什麼	18309
ㄗㄞˋ	再	18287
ㄧㄥˇ	影	18106
ㄔㄢˇ	產	18083
ㄘㄞˊ	才	18054
ㄖㄤˋ	讓	17844
ㄩㄢˋ	院	17831
ㄏㄨㄟˊ	回	17709
ㄑㄩ	區	17560
ㄡ	區	17560
ㄌㄨˋ	路	17533
ㄅㄟˇ	北	17515
ㄐㄧˇ	己	17513
ㄩㄢˊ	原	17403
ㄊㄨㄥˇ	統	17390
ㄐㄧㄣ	金	17372
ㄌㄧˋ	利	17349
ㄊㄨㄥ	通	17245
ㄍㄞ	該	17197
ㄕㄡˇ	手	17092
ㄆㄧㄣˇ	品	17058
ㄓㄢˇ	展	16980
ㄊㄚ	她	16974
ㄕㄠˇ	少	16872
ㄕㄠˋ	少	16872
ㄗˋ ㄐㄧˇ	自己	16871
ㄅㄚˇ	把	16816
ㄅㄚˋ	把	16816
ㄅㄠˋ	報	16748
ㄏㄨㄚˋ	話	16662
ㄍㄨㄢ	觀	16660
ㄍㄨㄢˋ	觀	16660
ㄕㄡˋ	受	16567
ㄕㄜˋ	設	16527
ㄕㄨ	書	16505
ㄊㄜˋ	特	16446
ㄢˋ	案	16300
ㄅㄞˇ	百	16240
ㄔㄨˇ	處	16153
ㄔㄨˋ	處	16153
ㄧㄡˋ	又	16139
ㄒㄩㄢˇ	選	16105
ㄉㄨㄥ	東	16027
ㄓㄣ	真	16016
ㄋㄩˇ	女	15990
ㄖㄨˇ	女	15990
ㄐㄧㄠˋ	覺	15972
ㄐㄩㄝˊ	覺	15972
ㄆㄧㄢˋ	片	15797
ㄐㄧㄝ	接	15755
ㄕㄨˇ	數	15744
ㄕㄨˋ	數	15744
ㄕㄨㄛˋ	數	15744
ㄐㄧㄝˇ	解	15728
ㄐㄧㄝˋ	解	15728
ㄒㄧㄝˋ	解	15728
ㄒㄧㄢ	先	15699
ㄖㄣˊ	任	15604
ㄖㄣˋ	任	15604
ㄊㄡˊ	頭	15477
ㄊㄡ˙	頭	15477
ㄔㄥˊ	程	15458
ㄧㄢˊ	研	15416
ㄧㄢˋ	研	15416
ㄙㄨㄛˇ ㄧˇ	所以	15405
ㄖㄣˋ	認	15399
ㄍㄢˇ	感	15384
ㄓˋ	至	15290
ㄐㄩㄢ	身	15257
ㄕㄣ	身	15257
ㄐㄧㄝ	結	15208
ㄐㄧㄝˊ	結	15208
ㄕ	師	14938
ㄨㄣˋ ㄊㄧˊ	問題	14933
ㄗㄜˊ	則	14868
ㄨˋ	務	14788
ㄍㄨㄢˇ	管	14695
ㄧˋ	議	14687
ㄍㄟˇ	給	14679
ㄐㄧˇ	給	14679
ㄅㄧㄢˋ	變	14620
ㄇㄟˇ	每	14579
ㄅㄧㄝˊ	別	14567
ㄓㄜˋ ㄍㄜ˙	這個	14546
ㄉㄠˇ	導	14532
ㄉㄠˋ	導	14532
ㄐㄧㄠˇ	較	14512
ㄐㄧㄠˋ	較	14512
ㄏㄡˋ	候	14407
ㄍㄣ	跟	14336
ㄍㄨㄤ	光	14315
ㄈㄨˇ	府	14291
ㄑㄩㄢˊ	權	14236
ㄊㄞˋ	太	14193
ㄊㄞ˙	太	14193
ㄗㄨㄥˇ	總	14152
ㄐㄧㄢˋ	見	14027
ㄒㄧㄢˋ	見	14027
ㄐㄩ	車	14015
ㄔㄜ	車	14015
ㄎㄜˇ ㄋㄥˊ	可能	13979
ㄆㄧㄥˊ	平	13917
ㄒㄧ	西	13903
ㄒㄧ˙	西	13903
ㄉㄚˇ	打	13877
ㄉㄚˊ	打	13877
ㄏㄜˊ	何	13876
ㄨㄢˊ	完	13669
ㄕˋ	示	13634
ㄅㄚ	八	13625
ㄈㄤˇ	放	13593
ㄈㄤˋ	放	13593
ㄌㄧㄡˋ	六	13573
ㄐㄧㄡˇ	九	13570
ㄕˋ	視	13555
ㄩㄢˊ	元	13549
ㄕˋ	世	13515
ㄨㄟˇ ㄩㄢˊ	委員	13514
ㄖㄨˊ ㄍㄨㄛˇ	如果	13468
ㄅㄢˋ	辦	13396
ㄐㄧㄡˋ ㄕˋ	就是	13364
ㄐㄧ	基	13350
ㄒㄧㄤˋ	向	13328
ㄏㄨㄚˋ	畫	13307
ㄌㄜˋ	樂	13236
ㄧㄠˋ	樂	13236
ㄩㄝˋ	樂	13236
ㄈㄟ	非	13221
ㄊㄚ	它	13210
ㄐㄧㄠ	交	13206
ㄐㄧ	幾	13199
ㄐㄧˇ	幾	13199
ㄕㄤ	商	13194
ㄓㄜˋ ㄧㄤˋ	這樣	13123
ㄑㄧˋ	氣	13113
ㄏㄨˇ	許	13105
ㄒㄩˇ	許	13105
ㄓˋ	制	13051
ㄌㄨㄣˊ	論	13046
ㄌㄨㄣˋ	論	13046
ㄨㄤˇ	網	13042
ㄐㄧㄣˋ	近	12946
ㄑㄧㄥˇ	請	12921
ㄢ	安	12911
ㄩㄣˋ	運	12852
ㄩˋ	育	12838
ㄌㄧㄤˊ	量	12837
ㄌㄧㄤˋ	量	12837
ㄐㄧㄝˋ	界	12810
ㄕㄢ	山	12790
ㄨㄤˋ	望	12766
ㄐㄧㄡˋ	究	12736
ㄍㄞˇ	改	12724
ㄕㄨˋ	術	12719
ㄓㄨㄢˋ	傳	12613
ㄔㄨㄢˊ	傳	12613
ㄨㄢˋ	萬	12599
ㄓㄥˇ	整	12588
ㄈㄟˋ	費	12503
ㄉㄧㄠˋ	調	12448
ㄊㄧㄠˊ	調	12448
ㄒㄧㄢˋ ㄗㄞˋ	現在	12352
ㄍㄨㄥ	共	12339
ㄍㄨㄥˇ	共	12339
ㄍㄨㄥˋ	共	12339
ㄧˋ	義	12274
ㄓㄨㄢ	專	12235
ㄈㄢˇ	反	12229
ㄐㄧㄠˋ	校	12139
ㄒㄧㄠˋ	校	12139
ㄏㄞˇ	海	12111
ㄒㄧㄣˋ	信	12105
ㄕㄣ	信	12105
ㄙ	司	12027
ㄉㄢ	單	12010
ㄔㄢˊ	單	12010
ㄕㄢˋ	單	12010
ㄓˇ	指	12004
ㄗㄠˋ	造	12003
ㄗㄨˇ	組	11940
ㄕˊ ㄏㄡˋ	時候	11902
ㄙㄜˋ	色	11882
ㄓㄥˋ ㄈㄨˇ	政府	11866
ㄊㄨㄟ	推	11842
ㄨㄟˋ	未	11804
ㄑㄧㄡˊ	求	11740
ㄎㄠˇ	考	11722
ㄌㄧㄣˊ	林	11686
ㄉㄢˋ ㄕˋ	但是	11656
ㄎㄜ	科	11653
ㄧㄢˇ	演	11628
ㄓˊ	直	11604
ㄎㄨㄥ	空	11558
ㄎㄨㄥˋ	空	11558
ㄐㄧˋ	記	11546
ㄅㄧˋ	必	11540
ㄒㄧˋ	系	11514
ㄑㄧ	七	11452
ㄐㄧㄢˋ	件	11451
ㄎㄡˇ	口	11424
ㄊㄨㄢˊ	團	11320
ㄍㄨㄥ ㄗㄨㄛˋ	工作	11307
ㄧˇ ㄐㄧㄥ	已經	11301
ㄕㄣ	參	11295
ㄘㄢ	參	11295
ㄘㄣ	參	11295
ㄙㄢ	參	11295
ㄍㄨㄟ	規	11195
ㄑㄩㄝˋ	卻	11140
ㄌㄟˋ	類	11112
ㄈㄥ	風	11112
ㄐㄧㄤˋ	強	11079
ㄑㄧㄤˇ	強	11079
ㄑㄧㄤˊ	強	11079
ㄋㄢˊ	難	11037
ㄋㄢˋ	難	11037
ㄧㄢˊ ㄐㄧㄡˋ	研究	11024
ㄍㄚ˙	價	10999
ㄐㄧㄚˋ	價	10999
ㄓㄨㄥˋ	眾	10982
ㄔㄨˊ	除	10954
ㄧㄡˇ	友	10947
ㄉㄞˋ	帶	10893
ㄒㄩ	需	10864
ㄧㄣ	音	10860
ㄓㄜˋ ㄒㄧㄝ	這些	10840
ㄐㄩㄝˊ	決	10767
ㄓㄤ	張	10733
ㄑㄧㄝˇ	且	10709
ㄕㄡ	收	10690
ㄌㄧㄢˊ	連	10686
ㄖㄨㄥˊ	容	10606
ㄔˊ	持	10572
ㄞˋ	愛	10515
ㄍㄠˋ	告	10513
ㄍㄨˋ	告	10513
ㄌㄧㄡˊ	流	10488
ㄔㄨㄤ	創	10487
ㄔㄨㄤˋ	創	10487
ㄒㄧㄥˊ	形	10460
ㄕㄜˋ ㄏㄨㄟˋ	社會	10442
ㄕˇ	始	10432
ㄑㄧㄥ	清	10432
ㄉㄚˊ	達	10408
ㄋㄢˊ	南	10403
ㄈㄨˊ	服	10340
ㄔㄣˊ	陳	10270
ㄗˋ	字	10185
ㄐㄩˊ	局	10060
ㄑㄩˇ	取	10021
ㄍㄜˊ	格	10021
ㄧㄥ ㄍㄞ	應該	10019
ㄓˋ	治	9987
ㄐㄧˋ	際	9980
ㄐㄩㄝˊ ㄉㄜˊ	覺得	9979
ㄐㄩㄝˊ ㄉㄜ˙	覺得	9979
ㄗㄡˇ	走	9956
ㄐㄧˋ	紀	9894
ㄉㄤˇ	黨	9848
ㄑㄧㄡˊ	球	9822
ㄇㄣˊ	門	9818
ㄊㄞˊ ㄅㄟˇ	台北	9797
ㄒㄧ	希	9764
ㄐㄧㄤˇ	講	9741
ㄅㄠ	包	9702
ㄧㄢˊ	言	9694
ㄊㄧㄠˊ	條	9666
ㄅㄧㄢˋ	便	9650
ㄆㄧㄢˊ	便	9650
ㄐㄩˋ	具	9645
ㄓ ㄉㄠˋ	知道	9634
ㄙㄨㄢˋ	算	9533
ㄏㄨㄚ	花	9512
ㄐㄧㄣ ㄊㄧㄢ	今天	9490
ㄐㄧˊ	即	9463
ㄓㄨˋ	助	9462
ㄓㄨˋ	住	9443
ㄏㄨㄢˊ	環	9432
ㄏㄨㄚ	華	9404
ㄏㄨㄚˊ	華	9404
ㄏㄨㄚˋ	華	9404
ㄅㄧㄠ	標	9375
ㄒㄩㄝˊ ㄕㄥ	學生	9354
ㄓㄚ	查	9349
ㄔㄚˊ	查	9349
ㄒㄩˋ	續	9328
ㄅㄨˊ ㄕˋ	不是	9288
ㄌㄨˋ	錄	9288
ㄓˊ	質	9286
ㄓˋ	質	9286
ㄓㄢˋ	戰	9272
ㄏㄞˊ ㄕˋ	還是	9209
ㄧ	醫	9201
ㄋㄧˊ	兒	9194
ㄦ	兒	9194
ㄦˊ	兒	9194
ㄅㄨˊ ㄍㄨㄛˋ	不過	9116
ㄅㄨˋ ㄍㄨㄛˋ	不過	9116
ㄨㄤˇ	往	9094
ㄐㄧˇ	濟	9084
ㄐㄧˋ	濟	9084
ㄕˋ	士	9082
ㄌㄧㄢˊ	聯	9071
ㄊㄡˊ	投	9027
ㄉㄧˋ ㄧ	第一	8998
ㄇㄨˋ ㄑㄧㄢˊ	目前	8995
ㄎㄨㄞˋ	快	8963
ㄒㄩㄣˋ	訊	8936
ㄍㄨㄥ	供	8932
ㄍㄨㄥˋ	供	8932
ㄊㄧㄥ	聽	8920
ㄊㄧㄥˋ	聽	8920
ㄐㄩˇ	舉	8918
ㄓㄠˋ	照	8903
ㄅㄧˇ ㄐㄧㄠˇ	比較	8891
ㄅㄧˇ ㄐㄧㄠˋ	比較	8891
ㄌㄧㄠˋ	料	8868
ㄇㄟˇ ㄍㄨㄛˊ	美國	8851
ㄐㄧˋ	技	8831
ㄒㄧㄤˋ	象	8808
ㄐㄧㄠˋ ㄩˋ	教育	8799
ㄇㄚˇ	馬	8786
ㄒㄧㄢˋ	線	8770
ㄅㄛˊ	白	8715
ㄅㄞˊ	白	8715
ㄕㄥ	聲	8702
ㄅㄧㄢ	邊	8683
ㄍㄨㄥ ㄙ	公司	8680
ㄐㄧㄥˋ	境	8678
ㄕˇ ㄩㄥˋ	使用	8675
ㄒㄧㄤˋ	項	8673
ㄩˇ	語	8669
ㄩˋ	語	8669
ㄐㄧㄝˊ	節	8613
ㄒㄧㄥˊ	型	8593
ㄒㄧㄠ	消	8547
ㄒㄧㄝˇ	寫	8541
ㄒㄧㄝˋ	寫	8541
ㄍㄡˋ	夠	8530
ㄕˊ ㄐㄧㄢ	時間	8509
ㄎㄞ ㄕˇ	開始	8478
ㄅㄧㄥˋ	病	8472
ㄏㄞˊ	孩	8445
ㄗㄜˇ	怎	8445
ㄗㄣˇ	怎	8445
ㄓㄨㄢˇ	轉	8414
ㄓㄨㄢˋ	轉	8414
ㄇㄚ	嗎	8408
ㄇㄚˇ	嗎	8408
ㄇㄚ˙	嗎	8408
ㄐㄧˊ	吃	8386
ㄔ	吃	8386
ㄍㄤ	剛	8359
ㄩㄝ	約	8327
ㄓㄨㄥ ㄍㄨㄛˊ	中國	8319
ㄓㄨㄥ ㄍㄨㄛˊ ㄉㄧˋ ㄈㄤ	中國地方	8319
ㄩㄢˊ	園	8309
ㄧㄥˊ	營	8306
ㄑㄧㄢ	千	8285
ㄧㄢˋ	驗	8280
ㄇㄧㄥˋ	命	8277
ㄒㄧ ㄨㄤˋ	希望	8271
ㄓㄥ	爭	8246
ㄩˋ	預	8242
ㄕㄣˊ	神	8199
ㄐㄧㄥ ㄐㄧˋ	經濟	8154
ㄌㄧˋ	例	8115
ㄩㄢˊ	源	8114
ㄇㄢˇ	滿	8108
ㄑㄧㄣ	親	8102
ㄑㄧㄣˋ	親	8102
ㄑㄧㄥˋ	親	8102
ㄧˋ	易	8094
ㄍㄨㄛˊ ㄐㄧㄚ	國家	8073
ㄐㄧˊ	集	8025
ㄌㄧㄥˋ	另	8022
ㄍㄨㄥ	功	8016
ㄑㄩㄝˋ	確	7977
ㄓㄠˇ	找	7964
ㄙ	思	7909
ㄙ˙	思	7909
ㄅㄧㄠˇ ㄕˋ	表示	7900
ㄈㄚ ㄓㄢˇ	發展	7899
ㄋㄧㄢˋ	念	7865
ㄧˋ	藝	7864
